id,title,Carrera UGM,UGM
1399,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1400,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1401,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1402,Ingeniería en Construcción,,
1403,Ingeniería en Construcción,,
1404,Ingeniería en Construcción,,
1405,Ingeniería en Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1406,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1407,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1408,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1409,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1410,Medicina,,
1411,Medicina,,
1412,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1413,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1414,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1415,Obstetricia y Puericultura,,
1416,Obstetricia y Puericultura,,
1417,Odontología,,
1418,Odontología,,
1419,Pedagogía en Educación Básica,,
1420,Pedagogía en Educación Básica,,
1421,Pedagogía en Educación Básica,,
1422,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1423,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1424,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1425,Pedagogía en Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1426,Pedagogía en Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1427,Pedagogía en Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1428,Pedagogía en Historia,,
1429,Pedagogía en Inglés,,
1430,Pedagogía en Inglés,,
1431,Pedagogía en Inglés,,
1432,Pedagogía en Inglés,,
1433,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1434,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1435,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1436,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1437,Publicidad y Comunicación Integral,,
1438,Relaciones Públicas y Comunicación Estartégica,,
1439,Técnico Universitario en Administración,,
1440,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1441,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1442,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1443,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1444,Trabajo Social,,
1445,Trabajo Social,,
1446,Trabajo Social,,
1447,Agronomía,,
1448,Arquitectura,,
1449,Biología Marina,,
1450,Contador Público y Auditor,,
1451,Derecho - Casa Central Iquique,DERECHO DIURNO,DERESG1
1452,Derecho - Sede Victoria,DERECHO DIURNO,DERESG1
1453,Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1454,Enfermería - Casa Central Iquique,ENFERMERIA DIURNO,ENFESG1
1455,Enfermería - Sede Victoria,ENFERMERIA DIURNO,ENFESG1
1456,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1457,Ingeniería Civil Ambiental,,
1458,Ingeniería Civil de Minas,,
1459,Ingeniería Civil Electrónica,,
1460,Ingeniería Civil en Computación e Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1461,Ingeniería Civil Industrial,,
1462,Ingeniería Civil Metalúrgica,,
1463,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1464,Ingeniería en Biotecnología,,
1465,Ingeniería en Información y Control de Gestión,INGENIERÍA EN CONTROL DE GESTIÓN DIURNO,INCGSG1
1466,Kinesiología - Casa Central Iquique,KINESIOLOGIA DIURNO,KINESG1
1467,Kinesiología - Sede Victoria,KINESIOLOGIA DIURNO,KINESG1
1468,Odontología,,
1469,Pedagogía en Educación Básica,,
1470,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1471,Pedagogía en Inglés,,
1472,Pedagogía en Lengua Castellana y Comunicación,,
1473,Pedagogía en Matemática y Física,,
1474,Psicología - Casa Central Iquique,PSICOLOGÍA DIURNO,PSICSG1
1475,Psicología - Sede Victoria,PSICOLOGÍA DIURNO,PSICSG1
1476,Química y Farmacia,,
1477,Sociología,,
1478,Trabajo Social,,
1479,Traducción Inglés - Español,,
1480,Administración Pública,,
1481,Arquitectura,,
1482,Bachillerato en Ciencias de la Ingeniería,,
1483,Bibliotecología y Documentación,,
1484,Cartografía y geomática,,
1485,Construcción CIvil,,
1486,Contador Público y Auditor,,
1487,Dibujante Proyectista,,
1488,Diseño en Comunicación visual,,
1489,Diseño Industrial,,
1490,Ingeniería Civil Electrónica,,
1491,Ingeniería Civil en Computación mención Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1492,Ingeniería Civil en Mecánica,,
1493,Ingeniería Civil en Obras Civiles,,
1494,Ingeniería Civil en Prevención de Riesgos y Medio Ambiente,,
1495,Ingeniería Civil Industrial,,
1496,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1497,Ingeniería de Ejecución en Biotecnología,,
1498,Ingeniería en Administración Agroindustrial,,
1499,Ingeniería en Biotecnología,,
1500,Ingeniería en Comercio Internacional,,
1501,Ingeniería en Construcción,,
1502,Ingeniería en Geomensura,,
1503,Ingeniería en Gestión Turística,,
1504,Ingeniería en Industria Alimentaria,,
1505,Ingeniería en Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1506,Ingeniería en Transporte y Tránsito,,
1507,Ingeniería Industrial,,
1508,Ingeniería Química,,
1509,Química Industrial,,
1510,Técnico de Nivel Superior en Gestiónn Pública,,
1511,Trabajo Social,,
1512,Administración Pública,,
1513,Arquitectura,,
1514,Arquitectura del Paisaje,,
1515,Ciencias Políticas,,
1516,Contador Auditor,,
1517,Derecho - Sede La Serena,DERECHO DIURNO,DERESG1
1518,Derecho - Sede Santiago,DERECHO DIURNO,DERESG1
1519,Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1520,Enfermería,ENFERMERIA DIURNO,ENFESG1
1521,Geología,,
1522,Ingeniería Civil en Computación e Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1523,Ingeniería Civil en Minas,,
1524,Ingeniería Civil en Obras Civiles,,
1525,Ingeniería Civil Industrial,,
1526,Ingeniería Comercial - Sede La Serena,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1527,Ingeniería Comercial - Sede Stgo.,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1528,Ingeniería de Ejecución en Administración de Negocios,,
1529,Ingeniería en Agronegocios,,
1530,Ingeniería en Construcción,,
1531,Ingeniería en Control de Gestión,INGENIERÍA EN CONTROL DE GESTIÓN DIURNO,INCGSG1
1532,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
